Date,Time,Request_Summary,Category,Urgency,Effort
2025-05-08,04:17 PM,"Please see attached the new order confirmation for the motor and the return authorization. Once the customer has received the new motor, please let me...",Support,MEDIUM,Medium
2025-05-15,05:59 PM,JBlueHost is working through it now. It is but BlueHost does daily backups,Hosting,HIGH,Medium
2025-05-15,06:01 PM,hey said the backups are on a separate server,Hosting,MEDIUM,Medium
2025-05-15,06:03 PM,"2They’re not 100% sure on which level backup, lol",Hosting,MEDIUM,Medium
2025-05-15,06:03 PM,"I’m supposed to have an onboarding call at 9:15 tomorrow, do you want to be on that? Not a big deal if you can’t make it",Support,MEDIUM,Large
2025-05-16,10:04 AM,"'Got for it, do whatever you need to do",Support,MEDIUM,Medium
2025-05-16,10:34 AM,"lI do have a couple extra domains, all of mine are in Namecheap. Add your Peak One email as delegate access?",Hosting,MEDIUM,Medium
2025-05-16,01:40 PM,"oK, I’m doing full file exports for now. Can we work with those on these other sites to test out that avenue?",Support,HIGH,Medium
2025-05-16,05:34 PM,"jI never saw anything come through, I’ll set you up a Velocity email and add you as an admin to the site",Email,MEDIUM,Medium
2025-05-17,03:20 PM,0Emphasized “Then I can import this website’s .zip export file and test out the import on a subdomain. If everything looks good then I’ll record what ...,Hosting,MEDIUM,Large
2025-05-18,09:29 AM,OCan you check if those selections look good before I start knocking these out?,Support,MEDIUM,Medium
2025-05-18,11:34 AM,Dropping all website backups into this folder:,Hosting,MEDIUM,Medium
2025-05-19,08:35 AM,"kGood morning sir, I got 10 total websites zipped yesterday. Most of the Other Files were different than the first one so I just selected all Other Fi...",Hosting,MEDIUM,Small
2025-05-19,09:15 AM,"XI just got an email notification of the DNS change, do you want me to forward you that?",Hosting,MEDIUM,Small
2025-05-19,05:56 PM,"QLiked “Once you install that plugin, follow the directions on this page for backing up each site. Start with one and then let me move it onto the ser...",Hosting,MEDIUM,Large
2025-05-20,03:15 PM,"0Phantom hadn’t shared domain registration access yet, I’m on the phone with him now and he’s adding my email as well as the hosting email to it now. ...",Hosting,HIGH,Medium
2025-05-20,06:06 PM,Please use this: 301 S McDowell St. Suite 125 - 1361 Charlotte NC 28204,Support,MEDIUM,Medium
