date,time,month,request_type,category,description,urgency,effort
2025-05-13,16:55:44,2025-05,General Request,General,"I might need your help, basically have to build my own team in house about overnight",MEDIUM,Medium
2025-05-15,07:14:02,2025-05,General Request,General,"Up to 36 websites now and still counting that I’ll need help migrating, still working through the list",MEDIUM,Medium
2025-05-15,17:59:34,2025-05,General Request,General,"BlueHost is working through it now. It is but BlueHost does daily backups",MEDIUM,Medium
2025-05-15,18:01:12,2025-05,General Request,General,"They said the backups are on a separate server",MEDIUM,Medium
2025-05-15,18:03:26,2025-05,General Request,General,"They’re not 100% sure on which level backup, lol",MEDIUM,Medium
2025-05-16,10:04:30,2025-05,General Request,General,"Got for it, do whatever you need to do",MEDIUM,Medium
2025-05-16,10:34:53,2025-05,General Request,General,"I do have a couple extra domains, all of mine are in Namecheap. Add your Peak One email as delegate access?",MEDIUM,Medium
2025-05-16,13:40:28,2025-05,General Request,General,"K, I’m doing full file exports for now. Can we work with those on these other sites to test out that avenue?",MEDIUM,Medium
2025-05-16,17:34:10,2025-05,General Request,General,"I never saw anything come through, I’ll set you up a Velocity email and add you as an admin to the site",MEDIUM,Medium
2025-05-18,09:29:05,2025-05,General Request,General,"Can you check if those selections look good before I start knocking these out?",MEDIUM,Medium
2025-05-18,11:34:59,2025-05,General Request,General,"Dropping all website backups into this folder:",MEDIUM,Medium
2025-05-20,15:15:23,2025-05,General Request,General,"Phantom hadn’t shared domain registration access yet, I’m on the phone with him now and he’s adding my email as well as the hosting email to it now. D",MEDIUM,Medium
2025-05-21,10:30:03,2025-05,General Request,General,"Operation World Domination might start this afternoon, tired of this limbo, nothing with you just is wearing me out trying to get all this done quietl",HIGH,Medium
2025-05-22,07:36:20,2025-05,General Request,General,"We’ll need to update that on every site. Mine hasn’t been used this whole time",MEDIUM,Medium
2025-05-22,09:11:57,2025-05,General Request,General,"The cat might be out of the bag earlier today. I just caught the Support email was a Super Admin on my Velocity Google Workspace as I was creating a u",HIGH,Medium
2025-05-22,13:51:28,2025-05,General Request,General,"Do you want me to add you to my license and add a second website login credentials to try to stage?",MEDIUM,Medium
2025-05-22,15:48:37,2025-05,General Request,General,"I just added login credentials for Distinct, that’s a good one to do next on staging",MEDIUM,Medium
2025-05-22,15:58:08,2025-05,General Request,General,"Guardian Graphics is also good to stage, that one was built by my new cheap website builder so we can migrate that staged site as well after Distinct,",MEDIUM,Large
2025-05-22,16:52:10,2025-05,General Request,General,"All websites have been added",MEDIUM,Medium
2025-05-23,08:13:36,2025-05,General Request,General,"I’ll buy a license and let’s update them as we stage them before DNS records get changed",MEDIUM,Medium
2025-05-23,08:56:00,2025-05,General Request,General,"Why not just wait to update the license until the website is live?",MEDIUM,Small
2025-05-23,08:57:30,2025-05,General Request,General,"Let’s just do that, don’t need to overcomplicate it",MEDIUM,Medium
2025-05-23,18:46:50,2025-05,General Request,General,"The top priority will be zipping all the sites first and foremost now you know we’re good there. Staging and DNS updates can wait until all zips are d",MEDIUM,Medium
2025-05-24,07:50:49,2025-05,General Request,General,"I just added Capital’s login as well, no activity plugins there so good to zip that one as well",MEDIUM,Medium
2025-05-24,07:59:29,2025-05,General Request,General,"I’m adding all the websites I had previously zipped since I had deleted activity plugins on most of those. AE, Automotive Elegance, is one of my bigge",MEDIUM,Medium
2025-05-24,12:03:12,2025-05,General Request,General,"Looks good on mobile. The image at the top of the PPF page seems it’s not adjusting for mobile well but I checked the original site and it’s messed up",MEDIUM,Medium
2025-05-25,07:23:16,2025-05,General Request,General,"I’m game, whatever we need to do",MEDIUM,Medium
2025-05-25,08:04:28,2025-05,General Request,General,"I’m checking out AE’s staging site, their embedded lead form at the top of the homepage is not formatting correctly?",MEDIUM,Medium
2025-05-25,08:47:11,2025-05,General Request,General,"Will do, I’m highlighting new logins in yellow. Please feel free to reset that to blank when you’re done with staging.",MEDIUM,Medium
2025-05-25,09:04:56,2025-05,General Request,General,"We’re going to change DNS one at a time on these because a lot of these sites have CRMs tied to them and those can’t go live until I have their lead f",MEDIUM,Medium
2025-05-25,10:00:05,2025-05,General Request,General,"I added a column to the end with a link to the screenshot of AE’s original plugins",MEDIUM,Medium
2025-05-25,10:09:26,2025-05,General Request,General,"I’m game for whatever we need to add as this goes live and we take the rest of the industry by storm",MEDIUM,Medium
2025-05-25,11:33:56,2025-05,General Request,General,"I think I had old credentials written down on my other sheet, just fixed it",MEDIUM,Medium
2025-05-25,12:20:45,2025-05,General Request,General,"Please note him and Brunswick are not high speed so don’t worry about any of those plugins",MEDIUM,Medium
2025-05-25,12:47:25,2025-05,General Request,General,"Looks like they might have been using All-in-One WP Migration Unlimited Extension for their site migrations",MEDIUM,Large
2025-05-26,10:19:53,2025-05,General Request,General,"I’m finishing up the next batch. I added a highlighted note for Simple Details, they’ve got a really high mobile performance score of 96 right now so",MEDIUM,Medium
2025-05-26,15:43:39,2025-05,General Request,General,"I’m not opposed to it, $20/domain/month stacks up a bit so just need to make sure it’s worth it",MEDIUM,Medium
2025-05-27,14:55:53,2025-05,General Request,General,"I can’t have this happen at all so whatever we need to do, let’s do it",MEDIUM,Medium
2025-05-28,08:56:39,2025-05,General Request,General,"There’s not a way to set the image display to do a fixed crop format on different size images?",MEDIUM,Medium
2025-05-28,10:37:14,2025-05,General Request,General,"Redline is ready to go live, that one just got built and so is Nash, just added those credentials",MEDIUM,Medium
2025-05-28,10:37:35,2025-05,General Request,General,"Also just got another migration from Evolved, waiting on domain access and website login credentials from them",MEDIUM,Large
2025-05-28,14:05:14,2025-05,General Request,General,"For GoDaddy, it was a delegate access invite. It should be tied to your phone number with the hosting email",MEDIUM,Medium
2025-05-28,14:17:48,2025-05,General Request,General,"You should’ve just gotten a GoDaddy invite from Alicia Smith for Evolved’s hosting migration",MEDIUM,Medium
2025-05-29,10:58:17,2025-05,General Request,General,"The big thing this afternoon is zipping the last sites we don’t have login credentials to. That’s absolute priority #1 the moment I take the email ove",MEDIUM,Medium
2025-05-29,15:55:59,2025-05,General Request,General,"Having a good call with Bren, he’s using WP Vivid Migration for migrating sites",MEDIUM,Large
2025-05-29,16:36:23,2025-05,General Request,General,"Bren is going to setup a forwarding text number for us to be able to login to the Support email for all the DNS records",MEDIUM,Medium
2025-05-30,17:27:10,2025-05,General Request,General,"This is the GoDaddy site:",MEDIUM,Medium
2025-05-30,17:27:57,2025-05,General Request,General,"Can we migrate a Squarespace site? I assumed it’d have to be copied to Wordpress somehow",MEDIUM,Large
2025-05-30,17:59:58,2025-05,General Request,General,"Would needing to update the Elementor license or anything affect her work?",MEDIUM,Small
2025-05-31,19:14:46,2025-05,General Request,General,"Alright if I add Activity Log and WP Activity Log to these sites?",MEDIUM,Medium
2025-06-02,10:01:12,2025-06,General Request,Support,"Can we go ahead and update DNS records for redline and Nash? Both are ready to go live and are new website builds",MEDIUM,Medium
2025-06-02,10:03:56,2025-06,General Request,Support,"Guys are blowing me up because they’re both leaving Sun Stoppers but need those sites up",MEDIUM,Medium
2025-06-02,10:55:46,2025-06,General Request,Support,"Redline needed me to buy a domain for them, just did in Namecheap and invited the hosting email to access it",MEDIUM,Medium
2025-06-02,10:59:44,2025-06,General Request,Support,"Do you prefer Rank Math for meta title and description editing or Yoast SEO? I need to add one to Redline",MEDIUM,Medium
2025-06-02,11:43:36,2025-06,General Request,Support,"I dropped in the wrong login fro Brunswick, that was Brownsville’s login, just fixed it",MEDIUM,Medium
2025-06-02,17:04:42,2025-06,General Request,Support,"I’m getting these last login credentials added to the sheet",MEDIUM,Medium
2025-06-02,19:50:19,2025-06,General Request,Support,"I know, please disregard, that was his old domain",MEDIUM,Medium
2025-06-02,20:24:30,2025-06,General Request,Support,"Seriously, need to get rid of that ASAP if we can",HIGH,Medium
2025-06-02,20:25:49,2025-06,General Request,Support,"Almost all of them are Elementor, Legacy is one long overdue for a fix",MEDIUM,Medium
2025-06-03,08:27:51,2025-06,General Request,Support,"Good morning, finally got ALL website login credentials on the sheet, just added the last ones for RCWT and Streetside. The Cookeville and Neighbors w",MEDIUM,Medium
2025-06-03,08:54:50,2025-06,General Request,Support,"Yes sir, that site has some basic GoDaddy site up currently that’s not being used so we’re good to go on changing it",MEDIUM,Medium
2025-06-03,17:33:25,2025-06,General Request,Support,"Should I install this plugin for this mobile fix?",MEDIUM,Medium
2025-06-03,17:43:32,2025-06,General Request,Support,"I’m trying to double check lead form settings for Nash but not seeing a Forms section on his site in Wordpress?",MEDIUM,Medium
2025-06-03,17:55:59,2025-06,General Request,Support,"The Nash site? The owner said the image issue is fixed",MEDIUM,Medium
2025-06-03,18:12:11,2025-06,General Request,Support,"I did, I added it to the website sheet",MEDIUM,Medium
2025-06-03,18:12:55,2025-06,General Request,Support,"Most lead forms have a forms tab pop up so not sure how this one is different or where to check the lead form notifications",MEDIUM,Medium
2025-06-03,18:24:49,2025-06,General Request,Support,"No sir, we need to remove them",MEDIUM,Medium
2025-06-03,18:26:45,2025-06,General Request,Support,"Support will need to go to the Google Ads team because it’s in all the GBPs",MEDIUM,Medium
2025-06-04,06:47:08,2025-06,General Request,Support,"Good morning, the following domain access invites from myself via Namecheap should be in the hosting email inbox. I checked and these are still pendin",HIGH,Medium
2025-06-04,08:56:56,2025-06,General Request,Hosting,"But I would do migrations first, yes, then finish those staging sites",MEDIUM,Large
2025-06-04,09:04:17,2025-06,General Request,Support,"Squarespace is his old domain, please use the Namecheap domain",MEDIUM,Medium
2025-06-04,13:10:07,2025-06,General Request,Support,"We need to fix a few things for the Simple Details website, I’ll have to call you later on it",MEDIUM,Medium
2025-06-04,21:19:37,2025-06,General Request,Support,"No worries, we can fix it after the migration",MEDIUM,Medium
