date,time,month,request_type,category,description,urgency,effort
2025-05-16,10:04:30,2025-05,General Request,Migration,"Got for it, do whatever you need to do",MEDIUM,Medium
2025-05-15,07:14:02,2025-05,General Request,Non-billable,"Up to 36 websites now and still counting that I’ll need help migrating, still working through the list",MEDIUM,Medium
2025-05-15,17:59:34,2025-05,General Request,Non-billable,"BlueHost is working through it now. It is but BlueHost does daily backups",MEDIUM,Medium
2025-05-15,18:01:12,2025-05,General Request,Non-billable,"They said the backups are on a separate server",MEDIUM,Medium
2025-05-15,18:03:26,2025-05,General Request,Non-billable,"They’re not 100% sure on which level backup, lol",MEDIUM,Medium
2025-05-16,10:34:53,2025-05,General Request,Non-billable,"I do have a couple extra domains, all of mine are in Namecheap. Add your Peak One email as delegate access?",MEDIUM,Medium
2025-05-16,13:40:28,2025-05,General Request,Non-billable,"K, I’m doing full file exports for now. Can we work with those on these other sites to test out that avenue?",MEDIUM,Medium
2025-05-16,17:34:10,2025-05,General Request,Non-billable,"I never saw anything come through, I’ll set you up a Velocity email and add you as an admin to the site",MEDIUM,Medium
2025-05-18,09:29:05,2025-05,General Request,Non-billable,"Can you check if those selections look good before I start knocking these out?",MEDIUM,Medium
2025-05-18,11:34:59,2025-05,General Request,Non-billable,"Dropping all website backups into this folder:",MEDIUM,Medium
2025-05-20,15:15:23,2025-05,General Request,Non-billable,"Phantom hadn’t shared domain registration access yet, I’m on the phone with him now and he’s adding my email as well as the hosting email to it now. D",MEDIUM,Medium
2025-05-21,10:30:03,2025-05,General Request,Non-billable,"Operation World Domination might start this afternoon, tired of this limbo, nothing with you just is wearing me out trying to get all this done quietl",HIGH,Medium
2025-05-22,07:36:20,2025-05,General Request,Non-billable,"We’ll need to update that on every site. Mine hasn’t been used this whole time",MEDIUM,Medium
2025-05-22,09:11:57,2025-05,General Request,Non-billable,"The cat might be out of the bag earlier today. I just caught the Support email was a Super Admin on my Velocity Google Workspace as I was creating a u",HIGH,Medium
2025-05-22,13:51:28,2025-05,General Request,Non-billable,"Do you want me to add you to my license and add a second website login credentials to try to stage?",MEDIUM,Medium
2025-05-22,15:48:37,2025-05,General Request,Non-billable,"I just added login credentials for Distinct, that’s a good one to do next on staging",MEDIUM,Medium
2025-05-22,15:58:08,2025-05,General Request,Non-billable,"Guardian Graphics is also good to stage, that one was built by my new cheap website builder so we can migrate that staged site as well after Distinct,",MEDIUM,Large
2025-05-22,16:52:10,2025-05,General Request,Non-billable,"All websites have been added",MEDIUM,Medium
2025-05-23,08:57:30,2025-05,General Request,Non-billable,"Let’s just do that, don’t need to overcomplicate it",MEDIUM,Medium
2025-05-23,18:46:50,2025-05,General Request,Non-billable,"The top priority will be zipping all the sites first and foremost now you know we’re good there. Staging and DNS updates can wait until all zips are d",MEDIUM,Medium
2025-05-24,07:50:49,2025-05,General Request,Non-billable,"I just added Capital’s login as well, no activity plugins there so good to zip that one as well",MEDIUM,Medium
2025-05-24,07:59:29,2025-05,General Request,Non-billable,"I’m adding all the websites I had previously zipped since I had deleted activity plugins on most of those. AE, Automotive Elegance, is one of my bigge",MEDIUM,Medium
2025-05-24,12:03:12,2025-05,General Request,Non-billable,"Looks good on mobile. The image at the top of the PPF page seems it’s not adjusting for mobile well but I checked the original site and it’s messed up",MEDIUM,Medium
2025-05-25,07:23:16,2025-05,General Request,Non-billable,"I’m game, whatever we need to do",MEDIUM,Medium
2025-05-25,08:47:11,2025-05,General Request,Non-billable,"Will do, I’m highlighting new logins in yellow. Please feel free to reset that to blank when you’re done with staging.",MEDIUM,Medium
2025-05-25,09:04:56,2025-05,General Request,Non-billable,"We’re going to change DNS one at a time on these because a lot of these sites have CRMs tied to them and those can’t go live until I have their lead f",MEDIUM,Medium
2025-05-25,10:00:05,2025-05,General Request,Non-billable,"I added a column to the end with a link to the screenshot of AE’s original plugins",MEDIUM,Medium
2025-05-25,10:09:26,2025-05,General Request,Non-billable,"I’m game for whatever we need to add as this goes live and we take the rest of the industry by storm",MEDIUM,Medium
2025-05-25,11:33:56,2025-05,General Request,Non-billable,"I think I had old credentials written down on my other sheet, just fixed it",MEDIUM,Medium
2025-05-25,12:20:45,2025-05,General Request,Non-billable,"Please note him and Brunswick are not high speed so don’t worry about any of those plugins",MEDIUM,Medium
2025-05-25,12:47:25,2025-05,General Request,Non-billable,"Looks like they might have been using All-in-One WP Migration Unlimited Extension for their site migrations",MEDIUM,Large
2025-05-26,10:19:53,2025-05,General Request,Non-billable,"I’m finishing up the next batch. I added a highlighted note for Simple Details, they’ve got a really high mobile performance score of 96 right now so",MEDIUM,Medium
2025-05-26,15:43:39,2025-05,General Request,Non-billable,"I’m not opposed to it, $20/domain/month stacks up a bit so just need to make sure it’s worth it",MEDIUM,Medium
2025-05-27,14:55:53,2025-05,General Request,Non-billable,"I can’t have this happen at all so whatever we need to do, let’s do it",MEDIUM,Medium
2025-05-28,10:37:14,2025-05,General Request,Non-billable,"Redline is ready to go live, that one just got built and so is Nash, just added those credentials",MEDIUM,Medium
2025-05-28,10:37:35,2025-05,General Request,Non-billable,"Also just got another migration from Evolved, waiting on domain access and website login credentials from them",MEDIUM,Large
2025-05-28,14:05:14,2025-05,General Request,Non-billable,"For GoDaddy, it was a delegate access invite. It should be tied to your phone number with the hosting email",MEDIUM,Medium
2025-05-28,14:17:48,2025-05,General Request,Non-billable,"You should’ve just gotten a GoDaddy invite from Alicia Smith for Evolved’s hosting migration",MEDIUM,Medium
