message_date,sender,message_text,service_type
2025-05-01 15:49:04,Thad Norman,"Good news, the motor warranty is 5 years. I’m working on submitting that for you.",iMessage
2025-05-01 15:51:30,Me,You’re the freaking man,iMessage
2025-05-01 15:51:47,Me,Knew I made the right decision buying from you! 😎,iMessage
2025-05-01 15:52:03,Thad Norman,But didn’t on the rest? Lol,iMessage
2025-05-01 15:52:05,Me,Lmk what you need from me. Will be out of town tomorrow through Sunday.,iMessage
2025-05-01 15:52:07,Me,Laughed at “But didn’t on the rest? Lol ”,iMessage
2025-05-01 15:52:27,Thad Norman,"I have my own account setup now so if you do need anything, much easier",iMessage
2025-05-01 15:53:14,Me,Awesome. May buy a couple more from you this summer depending upon price / tariffs. For the girls’ rooms.,iMessage
2025-05-01 15:54:09,Thad Norman,"They’re made in the US, I’m not sure on the individual parts and material though, those might be affected",iMessage
2025-05-01 16:14:46,Me,Good deal. I’m sure the warehouse is stocked,iMessage
2025-05-08 08:12:41,Me,,iMessage
2025-05-08 08:56:31,Thad Norman,,iMessage
2025-05-08 08:56:50,Thad Norman,Was it 2021? 2022?,iMessage
2025-05-08 08:59:30,Me,Right after we moved in so 2021,iMessage
2025-05-08 09:01:24,Thad Norman,Order	 4263754,iMessage
2025-05-08 09:02:09,Thad Norman,,iMessage
2025-05-08 09:02:33,Thad Norman,Date was 10/14/21,iMessage
2025-05-08 09:07:39,Me,Perfect,iMessage
2025-05-08 09:07:58,Me,"Don’t apologize man you have 1,000 things going on — you know I get it",iMessage
2025-05-08 09:09:11,Me,,iMessage
2025-05-08 09:09:17,Thad Norman,"It is getting bad, I have to include my assistant on customer text threads now, good problem to have though",iMessage
2025-05-08 09:10:50,Me,Yeah we need to catch up. Samira said something about Mike and SS and you possibly giving him the axe. 🪓,iMessage
2025-05-08 09:12:09,Thad Norman,"I have a lunch meeting today with someone wanting to start a shop with me, it’s about to get real",iMessage
2025-05-08 09:28:44,Thad Norman,,iMessage
2025-05-08 16:04:08,Me,,iMessage
2025-05-08 16:04:50,Me,,iMessage
2025-05-08 16:05:18,Thad Norman,,iMessage
2025-05-08 16:17:36,Thad Norman,"Please see attached the new order confirmation for the motor and the return authorization. Once the customer has received the new motor, please let me know so that I can schedule a FedEx Pickup.
 
Once the original motor is returned, a credit will be issued.",iMessage
2025-05-08 16:19:00,Me,Awesome. Shipping it to our house?,iMessage
2025-05-08 16:19:19,Thad Norman,,iMessage
2025-05-08 16:19:37,Thad Norman,"HIP TO:
SUNSTOPPERS WEST, LLC
Contact:  JUSTIN STEWART
12809 DUNLOE WOOD DR
HUNTERSVILLE,  NC  28078",iMessage
2025-05-08 21:21:15,Me,,iMessage
2025-05-09 12:46:33,Thad Norman,Seen one of these yet?,iMessage
2025-05-09 17:58:38,Me,Ooh I don’t think I’ve seen an M5 out in the wild yet,iMessage
2025-05-09 17:58:57,Me,Hopefully they side-stepped the tariffs lol,iMessage
2025-05-09 17:59:51,Me,Maj ordered a new 3 series in January.  He locked in his price before the tariffs kicked in. Delivered last week.,iMessage
2025-05-09 18:48:48,Thad Norman,"Very nice, I’ve not seen the touring yet until a shop sent me this photo",iMessage
2025-05-09 18:50:50,Me,"Nice little $140,000+ purchase right there",iMessage
2025-05-09 18:51:45,Me,Assuming it’s well-equipped,iMessage
2025-05-13 13:28:24,Me,"In a meeting, can I call you back?",iMessage
2025-05-13 13:28:39,Thad Norman,"Yes sir, might have an opportunity to work together on",iMessage
2025-05-13 13:29:10,Me,Love it. Will call you back around EOD walking into back to backs right now.,iMessage
2025-05-13 13:29:45,Thad Norman,"All good, got some big moves that might need to happen",iMessage
2025-05-13 13:50:26,Thad Norman,Have you done a lot with Zapier?,iMessage
2025-05-13 13:51:23,Me,Eh back in the day when I was learning how to connect to external sources. I prefer to write my own APIs now. Why?,iMessage
2025-05-13 13:52:10,Thad Norman,"All good, let’s chat about it when you have time",iMessage
2025-05-13 16:20:09,Thad Norman,What’s your thoughts on BlueHost?,iMessage
2025-05-13 16:25:08,Me,Depends on the use case. What’s the objective?,iMessage
2025-05-13 16:25:22,Me,Almost off this follow up call,iMessage
2025-05-13 16:25:36,Thad Norman,Moving all my websites away from my current provider,iMessage
2025-05-13 16:25:45,Thad Norman,To one of their VPS setups,iMessage
2025-05-13 16:26:31,Me,,iMessage
2025-05-13 16:26:41,Thad Norman,,iMessage
2025-05-13 16:26:51,Me,How many websites,iMessage
2025-05-13 16:26:53,Thad Norman,It’s $47/month for unlimited websites for VPs,iMessage
2025-05-13 16:27:29,Me,Ok so you’re choosing between the Choice Plus and the VPS?,iMessage
2025-05-13 16:27:42,Thad Norman,"I’m going VPS, it’s unlimited",iMessage
2025-05-13 16:27:55,Me,Ok this screenshot is for Choice Plus,iMessage
2025-05-13 16:27:57,Thad Norman,They use Oracle Cloud Platform servers,iMessage
2025-05-13 16:28:03,Thad Norman,"Right, sorry, sent the wrong info for that",iMessage
2025-05-13 16:28:43,Me,Are you comfortable with CPanel,iMessage
2025-05-13 16:29:06,Thad Norman,"I’ve worked in it, been a while though since I do everything in Google Workspace now",iMessage
2025-05-13 16:33:00,Me,How many website are you bringing over initially,iMessage
2025-05-13 16:33:19,Thad Norman,"I think 30+, working through the list now",iMessage
2025-05-13 16:33:22,Me,Assuming this is you,iMessage
2025-05-13 16:33:27,Me,,iMessage
2025-05-13 16:33:43,Thad Norman,Is that from BlueHost?,iMessage
2025-05-13 16:33:56,Me,Yes,iMessage
2025-05-13 16:34:33,Thad Norman,"Yep, that’s what they just sent me",iMessage
2025-05-13 16:38:15,Me,"100GB NVMe may be a bottleneck eventually.That may limit how many sites you can host, especially if your clients are storing video / heavy images / assets on their sites. Then that could get used up quicker than you think. So you won’t be able to host unlimited sites, technically. Your limiting factor is the size of your sites and how good you are at clamping off the storage allocating to each WordPress installation.",iMessage
2025-05-13 16:38:35,Thad Norman,"Right, they prorate to the next level up if you need it",iMessage
2025-05-13 16:41:41,Me,What’s the collective “weight” of your 30+ sites. How many gigs? Would be good to know going in. But knowing you can scale up gives you some grace. Just want to make sure you can upgrade to the Enhanced NVMe 8 at the $70.99 intro rate if you find that’s what you need a year from now.,iMessage
2025-05-13 16:42:03,Me,"Reg. price of this is $97.99 so if you moved into this in a year, they need to give you the $70.99",iMessage
2025-05-13 16:42:05,Thad Norman,"I can, I’m not sure honestly, will have to figure out as I start moving all of them",iMessage
2025-05-13 16:44:15,Me,,iMessage
2025-05-13 16:44:31,Me,I do dedicated hosting through AWS but it’s much more involved and I own my own server.,iMessage
2025-05-13 16:45:24,Me,"But I do a lot more than just WordPress hosting. I host some pretty large websites, databases and Web Applications.",iMessage
2025-05-13 16:45:38,Me,VPS is a good place to start. Stay away from cloud hosting.,iMessage
2025-05-13 16:47:43,Thad Norman,The VPS is a cloud server though from what I understand,iMessage
2025-05-13 16:47:53,Thad Norman,Oracle Cloud Platform,iMessage
2025-05-13 16:49:08,Me,This is cloud hosting:,iMessage
2025-05-13 16:49:09,Me,&https://www.bluehost.com/hosting/cloud,iMessage
2025-05-13 16:51:13,Thad Norman,Interesting comparison here:,iMessage
2025-05-13 16:51:15,Thad Norman,4https://www.hostinger.com/tutorials/best-web-hosting,iMessage
2025-05-13 16:51:22,Me,"Everything is technically in the cloud, even dedicated servers — but in the server world, it’s a category below VPS and below Dedicated. You pay based on fluctuations in traffic and workloads with cloud, so your costs are variable and somewhat unpredictable. And the performance isn’t as sharp as with VPS or with Dedicated. VPS gives you your own slice of a dedicated server. Translates into better website performance.",iMessage
2025-05-13 16:52:44,Me,,iMessage
2025-05-13 16:53:37,Thad Norman,"Haha, I saw that too",iMessage
2025-05-13 16:54:10,Thad Norman,I know a couple people who have used BlueHost,iMessage
2025-05-13 16:54:25,Me,Customer service for all of them is pretty comparable too. Though I’ve heard WP Engine has really good customer service. Bluehost’s customer support is decent. Nothing to shake your pom-poms over. I have several years of experience working with them. Hit or miss but gets the job done more often then not when I reach out to them. Outsourced reps but they do a fair job.,iMessage
2025-05-13 16:54:54,Me,,iMessage
2025-05-13 16:55:44,Thad Norman,"I might need your help, basically have to build my own team in house about overnight",iMessage
2025-05-13 16:55:59,Me,,iMessage
2025-05-13 16:56:21,Me,Oh damn,iMessage
2025-05-13 16:59:34,Thad Norman,"Sorry, on hold with BlueHost right now",iMessage
2025-05-13 16:59:51,Me,I’m free for the next 30 minutes til the kids get home from swim,iMessage
2025-05-13 16:59:54,Me,"Sorry, it’s been a day.",iMessage
2025-05-13 17:00:14,Thad Norman,"All good man, been more than a day with me, I’ll have to fill you in once we get a chance to chat",iMessage
2025-05-13 17:00:38,Me,Yeah please do. I’m sensing some urgency so I don’t want to put you off lol,iMessage
2025-05-13 17:01:05,Me,,iMessage
2025-05-13 17:01:10,Thad Norman,,iMessage
2025-05-13 17:01:18,Me,,iMessage
2025-05-13 17:01:26,Thad Norman,"I’m good now, nothing is happening today other than laying foundation for change",iMessage
2025-05-13 17:02:30,Me,Looking forward to hearing what’s going on. This sounds intriguing.,iMessage
2025-05-13 17:04:18,Thad Norman,,iMessage
2025-05-13 17:39:45,Thad Norman,$https://www.gohighlevel.com/889876a3,iMessage
2025-05-13 18:22:17,Me,"There is no way your shit is now Mike’s IP. Just because you provided the service during your tenure with SS doesn’t make it his. Unless he had something written into your contract that says he owned whatever tools or IP you developed while you were there in the course of doing your job, then he’s blowing smoke up your ass.",iMessage
2025-05-13 18:23:24,Thad Norman,"It’s not him, my project manager is saying he owns it",iMessage
2025-05-13 18:23:52,Me,"Yeah, that’s equally shit. Unless I’m missing details.",iMessage
2025-05-13 18:24:31,Me,"Either way, it’s a solvable problem. Just built a slightly different variation.",iMessage
2025-05-13 18:25:04,Me,It’s called a GPL license,iMessage
2025-05-13 18:29:37,Thad Norman,Let’s do it!,iMessage
2025-05-14 12:47:55,Thad Norman,"Good afternoon, day has gotten away from me. I’ve got a call at 1 then free after that",iMessage
2025-05-14 12:55:21,Me,"U2nd half of my day is about to get wild, will try to touch base once my meetings wrap",iMessage
2025-05-14 12:59:50,Thad Norman,,iMessage
2025-05-15 07:09:51,Me,Much lighter day today. What time do you have available?,iMessage
2025-05-15 07:10:57,Thad Norman,,iMessage
2025-05-15 07:11:46,Me,,iMessage
2025-05-15 07:11:50,Me,Z9 should be good. I’ll text you once Samira gets back from dropping Layla off at school.,iMessage
2025-05-15 07:13:19,Thad Norman,,iMessage
2025-05-15 07:14:02,Thad Norman,"Up to 36 websites now and still counting that I’ll need help migrating, still working through the list",iMessage
2025-05-15 07:25:13,Me,,iMessage
2025-05-15 07:26:03,Me,You’re migrating from [what platform?] to Bluehost?,iMessage
2025-05-15 08:37:59,Thad Norman,"I think he’s using SiteGround but I honestly don’t know, I’d have to do some digging",iMessage
2025-05-15 08:38:47,Thad Norman,"That or WP Engine, there’s a WP Engine user on every website",iMessage
2025-05-15 09:00:53,Me,Ok. Talking to Mom will call soon as I’m done,iMessage
2025-05-15 09:18:53,Thad Norman,,iMessage
2025-05-15 09:47:14,Me,,iMessage
2025-05-15 09:47:49,Me,Can you jump on that link or do you want me to email you. You shouldn’t need a Teams account to join the call.,iMessage
2025-05-15 17:39:49,Thad Norman,"Sorry for the late text, been a slammed day. Do you have a preference for a second server option after BlueHost? I’ve been trying for 2 days to get it setup and not sure about their support, guy said he’s having to fill out a second ticket to setup the server",iMessage
2025-05-15 17:40:21,Me,They haven’t given you server credentials or anything?,iMessage
2025-05-15 17:40:34,Thad Norman,"No sir, paid end of day on Wednesday",iMessage
2025-05-15 17:40:41,Me,Wow,iMessage
2025-05-15 17:40:54,Thad Norman,"Right, seems like a mess there",iMessage
2025-05-15 17:41:24,Me,Yeah that’s why we left them. But shouldn’t be that difficult to get a VPS setup. It’s all automated on their end.,iMessage
2025-05-15 17:41:43,Me,Go to Hostinger,iMessage
2025-05-15 17:42:27,Thad Norman,Are they better?,iMessage
2025-05-15 17:42:32,Me,Better customer support,iMessage
2025-05-15 17:42:43,Me,They’re all similar for what you need,iMessage
2025-05-15 17:43:51,Me,"Hostinger’s servers might be more performant but for what you need, not a huge deal. You can grow into their services.",iMessage
2025-05-15 17:44:02,Me,The customer service may be the tie break for you,iMessage
2025-05-15 17:44:32,Thad Norman,Did you mean performance?,iMessage
2025-05-15 17:45:48,Me,Performant?,iMessage
2025-05-15 17:45:55,Me,,iMessage
2025-05-15 17:46:15,Me,Performant is an industry term when referring to a tech stack’s capabilities.,iMessage
2025-05-15 17:46:15,Thad Norman,"Literally never heard that word in my life, lol",iMessage
2025-05-15 17:46:25,Me,Never stop learning,iMessage
2025-05-15 17:46:26,Me,😆,iMessage
2025-05-15 17:47:10,Me,Your immediate limiting factor will be how much storage you need.,iMessage
2025-05-15 17:52:05,Me,,iMessage
2025-05-15 17:53:07,Thad Norman,,iMessage
2025-05-15 17:56:08,Me,I would go with KVM 8,iMessage
2025-05-15 17:56:32,Me,The one I sent you in the screenshot,iMessage
2025-05-15 17:58:00,Me,,iMessage
2025-05-15 17:59:06,Me,Isn’t $19.99 / mo like half the price that Bluehost was offering you?,iMessage
2025-05-15 17:59:34,Thad Norman,BlueHost is working through it now. It is but BlueHost does daily backups,iMessage
2025-05-15 18:00:40,Me,,iMessage
2025-05-15 18:01:12,Thad Norman,They said the backups are on a separate server,iMessage
2025-05-15 18:01:40,Me,Ok — are they site level backups or server level backups?,iMessage
2025-05-15 18:03:26,Thad Norman,"They’re not 100% sure on which level backup, lol",iMessage
2025-05-15 18:03:57,Thad Norman,"I’m supposed to have an onboarding call at 9:15 tomorrow, do you want to be on that? Not a big deal if you can’t make it",iMessage
2025-05-15 18:04:24,Me,,iMessage
2025-05-15 18:04:37,Me,Yeah I can jump on that for a few minutes,iMessage
2025-05-15 18:05:12,Me,"I want to help you get this set up the right way. Some of this is marketing bullshit because I do all of what they’re telling you they’re going to do, on my own. But I also have a very robust system set up and I wouldn’t expect you to stand up a similar environment for what you need.",iMessage
2025-05-15 18:05:21,Me,So I just have to remind myself of that lol,iMessage
2025-05-15 18:06:20,Me,The fact that they store the backups off-site is great though.,iMessage
2025-05-15 18:07:14,Thad Norman,"You’re the expert on this so you tell me what you think is best and I’m game, BlueHost is more but from the bullet point marketing list it seems to come with more. The guy I spoke to is in his second week working there and this is his first VPS sale so trying to give him the benefit of the doubt on this.",iMessage
2025-05-15 18:07:48,Me,Shoot me an invite for 9:15 and I can hang on there for about 30 minutes,iMessage
2025-05-15 18:08:02,Me,I’ll be able to ask questions without having to relay them through you which will be more efficient,iMessage
2025-05-15 18:08:19,Me,,iMessage
2025-05-15 18:08:38,Thad Norman,"They had to make it 9:30. Will do, use your Gmail or Peak One email?",iMessage
2025-05-15 18:08:47,Thad Norman,,iMessage
2025-05-15 18:08:51,Me,That’s fine I just have a hard stop at 10a,iMessage
2025-05-15 18:08:52,Thad Norman,"That’s why I asked, lol",iMessage
2025-05-15 18:08:57,Me,So I may need to jump a few minutes before,iMessage
2025-05-15 18:09:20,Me,Njustin@peakonedigital.com so it routes into my calendar and blocks off my time,iMessage
2025-05-15 18:09:55,Thad Norman,"Invite sent, I do !!! On call and meetings so I don’t miss them, lol",iMessage
2025-05-15 18:10:08,Me,Perfect,iMessage
